cidx_2,recon_mean_2,mean_0,cidx_4,mean_5,recon_mean_6,mean_3,mean_2,cidx_0,cidx_6,mean_6,mean_1,mean_4,recon_mean_5,recon_mean_4,cidx_3,recon_mean_1,cidx_1,recon_mean_3,cidx_5,recon_mean_0
5,5,5,1,1,1,4,5,5,1,1,5,1,1,1,3,5,5,3,1,5
3,3,5,3,1,1,2,3,5,1,1,4,1,2,1,3,5,4,2,2,5
4,4,5,2,2,3,2,3,5,1,1,5,1,2,1,3,4,4,2,1,5
3,4,5,2,2,2,3,4,5,1,2,4,2,1,2,2,4,5,3,1,4
4,3,4,2,1,1,3,4,5,1,1,5,1,2,3,2,5,5,2,1,5
4,4,4,1,2,2,3,4,5,2,1,5,1,1,2,3,4,4,2,2,4
4,4,5,1,1,1,3,4,5,2,1,4,1,2,2,3,4,4,3,2,5
4,4,5,1,1,1,3,3,5,1,1,4,1,1,3,3,5,4,3,1,4
4,4,5,2,1,1,3,4,5,1,1,4,2,1,2,3,5,5,3,1,5
4,4,5,2,1,1,3,4,5,1,1,4,2,1,2,3,4,5,3,1,5
