,./results/gen_faces/recon_mean_1,./results/gen_faces/recon_mean_2,./results/gen_faces/mean_5,./results/gen_faces/recon_mean_5,./results/gen_faces/cidx_6,./results/gen_faces/cidx_0,./results/gen_faces/recon_mean_0,./results/gen_faces/cidx_5,./results/gen_faces/mean_1,./results/gen_faces/cidx_4,./results/gen_faces/mean_3,./results/gen_faces/cidx_3,./results/gen_faces/cidx_1,./results/gen_faces/mean_6,./results/gen_faces/recon_mean_3,./results/gen_faces/mean_0,./results/gen_faces/mean_4,./results/gen_faces/mean_2,./results/gen_faces/recon_mean_4,./results/gen_faces/cidx_2,./results/gen_faces/recon_mean_6
0,1.0,3.0,1.0,2.0,1.0,3.0,5.0,1.0,3.0,1.0,2.0,1.0,2.0,1.0,2.0,5.0,2.0,3.0,2.0,2.0,1.0
1,5.0,3.0,2.0,2.0,1.0,3.0,5.0,1.0,5.0,2.0,3.0,3.0,2.0,1.0,3.0,5.0,2.0,4.0,2.0,3.0,1.0
2,5.0,5.0,1.0,1.0,1.0,3.0,5.0,1.0,5.0,1.0,3.0,2.0,5.0,1.0,5.0,5.0,3.0,4.0,1.0,5.0,1.0
3,5.0,4.0,1.0,1.0,1.0,2.0,5.0,1.0,5.0,2.0,1.0,1.0,3.0,1.0,3.0,5.0,1.0,4.0,1.0,2.0,1.0
4,5.0,2.0,2.0,1.0,1.0,3.0,5.0,1.0,5.0,1.0,2.0,3.0,3.0,1.0,1.0,5.0,1.0,4.0,1.0,5.0,1.0
5,4.0,3.0,1.0,1.0,1.0,3.0,5.0,1.0,5.0,1.0,1.0,3.0,4.0,1.0,2.0,5.0,2.0,4.0,1.0,2.0,1.0
6,4.0,2.0,1.0,1.0,1.0,3.0,5.0,1.0,4.0,1.0,2.0,3.0,2.0,1.0,3.0,5.0,1.0,3.0,1.0,2.0,1.0
7,4.0,3.0,1.0,1.0,1.0,3.0,5.0,1.0,4.0,1.0,2.0,2.0,2.0,1.0,3.0,5.0,2.0,3.0,1.0,2.0,1.0
8,3.0,3.0,1.0,1.0,1.0,3.0,4.0,1.0,3.0,1.0,3.0,1.0,3.0,1.0,1.0,4.0,1.0,4.0,1.0,2.0,1.0
9,4.0,3.0,1.0,1.0,1.0,3.0,5.0,1.0,4.0,2.0,2.0,2.0,3.0,1.0,3.0,5.0,2.0,4.0,1.0,3.0,1.0
