cidx_4,mean_4,recon_mean_1,cidx_2,cidx_6,mean_2,mean_3,mean_0,cidx_3,recon_mean_6,cidx_0,recon_mean_2,recon_mean_0,mean_5,mean_1,cidx_5,recon_mean_4,recon_mean_5,recon_mean_3,cidx_1,mean_6
1,2,4,3,1,2,2,4,3,1,4,3,4,1,4,1,2,2,3,4,1
2,1,4,3,1,4,2,4,2,1,5,3,5,1,4,1,1,1,2,3,1
1,1,4,4,1,3,2,4,2,1,4,3,4,1,5,1,1,1,2,4,1
1,1,4,3,1,4,2,4,2,1,4,3,4,1,3,1,2,1,1,4,1
2,2,4,2,1,2,3,4,2,1,4,3,5,1,5,1,1,1,3,4,3
1,2,4,3,1,4,3,5,3,1,4,3,4,1,4,1,2,1,4,3,1
2,1,3,3,1,3,3,4,3,1,3,3,5,2,4,1,2,1,2,4,1
2,2,4,3,2,3,3,4,2,1,4,3,5,1,4,1,2,1,3,4,1
3,2,3,3,1,4,2,4,3,1,4,3,5,2,4,2,2,2,3,3,1
1,1,3,3,1,3,2,4,2,1,4,3,4,1,4,1,1,2,3,4,1
